Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AKS,LONG,2007-07-16,39.5,1,10.0,10.0,2007-07-31,40.83,11,3.37
AKS,LONG,2007-10-17,51.32,1,10.0,10.0,2007-11-01,49.49,11,-3.57
AKS,LONG,2008-03-20,49.84,1,10.0,10.0,2008-03-24,54.82,1,10
AKS,LONG,2011-02-18,17.87,1,10.0,10.0,2011-02-22,16.08,1,-10
AKS,LONG,2012-09-14,6.45,1,10.0,10.0,2012-09-17,5.68,1,-11.94
AKS,LONG,2012-09-17,5.68,1,10.0,10.0,2012-09-24,5,5,-11.97
AKS,LONG,2013-11-08,5.11,1,10.0,10.0,2013-11-25,5.2,11,1.76
AKS,LONG,2014-07-22,8.57,1,10.0,10.0,2014-07-29,9.43,5,10
AKS,LONG,2015-04-29,5.19,1,10.0,10.0,2015-05-12,5.71,9,10
AKS,SHORT,2015-09-28,2.22,1,10.0,10.0,2015-09-29,2.44,1,-10
AKS,LONG,2016-11-14,7.91,1,10.0,10.0,2016-11-22,8.7,6,10
AKS,LONG,2016-12-05,10.06,1,10.0,10.0,2016-12-07,11.07,2,10
AAPL,LONG,2007-05-16,15.5,1,10.0,10.0,2007-05-31,17.15,10,10.63
AAPL,LONG,2007-10-12,23.29,1,10.0,10.0,2007-10-23,26.94,7,15.67
AAPL,LONG,2007-12-12,27.63,1,10.0,10.0,2007-12-28,28.66,11,3.7
AAPL,LONG,2008-04-25,24.39,1,10.0,10.0,2008-05-07,26.82,8,10
AAPL,LONG,2008-05-08,26.25,1,10.0,10.0,2008-05-23,25.82,11,-1.63
AAPL,LONG,2008-05-15,26.69,1,10.0,10.0,2008-06-02,26.94,11,0.96
AAPL,LONG,2009-04-07,16.65,1,10.0,10.0,2009-04-23,18.09,11,8.66
AAPL,LONG,2009-09-10,24.58,1,10.0,10.0,2009-09-25,26,11,5.78
AAPL,LONG,2010-03-10,31.98,1,10.0,10.0,2010-03-25,32.99,11,3.17
AAPL,LONG,2010-04-05,33.57,1,10.0,10.0,2010-04-20,35.51,11,5.77
AAPL,LONG,2010-04-19,35.29,1,10.0,10.0,2010-04-23,38.82,4,10
AAPL,LONG,2010-06-22,38.88,1,10.0,10.0,2010-07-01,34.99,7,-10
AAPL,LONG,2010-10-13,42.89,1,10.0,10.0,2010-10-28,43.99,11,2.58
AAPL,LONG,2010-11-10,45.23,1,10.0,10.0,2010-11-26,44.82,11,-0.92
AAPL,LONG,2010-12-08,45.66,1,10.0,10.0,2010-12-23,46.43,11,1.68
AAPL,LONG,2011-02-11,50.68,1,10.0,10.0,2011-03-01,50.78,11,0.2
AAPL,LONG,2012-02-16,70.21,1,10.0,10.0,2012-02-29,77.37,8,10.19
AAPL,LONG,2012-02-28,75.42,1,10.0,10.0,2012-03-14,82.58,11,9.49
AAPL,LONG,2012-09-11,95.02,1,10.0,10.0,2012-09-26,95.53,11,0.55
AAPL,LONG,2013-10-23,74.14,1,10.0,10.0,2013-11-07,74.23,11,0.11
AAPL,LONG,2013-10-30,74.23,1,10.0,10.0,2013-11-14,74.69,11,0.62
AAPL,LONG,2014-06-10,94.73,1,10.0,10.0,2014-06-25,90.21,11,-4.77
AAPL,LONG,2014-07-09,95.44,1,10.0,10.0,2014-07-24,97.04,11,1.68
AAPL,LONG,2014-07-17,95.03,1,10.0,10.0,2014-08-01,94.9,11,-0.14
AAPL,LONG,2014-08-28,101.59,1,10.0,10.0,2014-09-15,102.81,11,1.2
AAPL,LONG,2014-11-17,114.27,1,10.0,10.0,2014-12-03,115.75,11,1.3
AAPL,LONG,2015-04-29,130.16,1,10.0,10.0,2015-05-14,127.41,11,-2.11
AAPL,LONG,2016-03-30,108.65,1,10.0,10.0,2016-04-14,111.62,11,2.73
BAC,SHORT,2007-07-12,48.6,1,10.0,10.0,2007-07-27,47.54,11,2.18
BAC,SHORT,2007-07-26,47.34,1,10.0,10.0,2007-08-10,47.75,11,-0.87
BAC,SHORT,2007-08-07,48.04,1,10.0,10.0,2007-08-22,51.78,11,-7.79
BAC,SHORT,2008-01-23,36.83,1,10.0,10.0,2008-01-24,40.51,1,-10
BAC,SHORT,2008-07-15,19.55,1,10.0,10.0,2008-07-16,21.5,1,-10
BAC,LONG,2009-10-16,17.16,1,10.0,10.0,2009-10-26,15.44,6,-10
BAC,LONG,2011-01-18,15.08,1,10.0,10.0,2011-01-25,13.57,5,-10
BAC,LONG,2012-09-14,9.6,1,10.0,10.0,2012-10-01,8.87,11,-7.6
BAC,LONG,2012-12-21,11.2,1,10.0,10.0,2013-01-09,11.87,11,5.98
BAC,LONG,2012-12-28,11.32,1,10.0,10.0,2013-01-15,11.38,11,0.53
BAC,LONG,2013-03-19,12.79,1,10.0,10.0,2013-04-04,11.81,11,-7.66
BAC,LONG,2013-05-23,12.93,1,10.0,10.0,2013-06-10,13.49,11,4.33
BAC,LONG,2014-12-30,18.04,1,10.0,10.0,2015-01-14,16,10,-11.31
BAC,LONG,2015-01-02,17.99,1,10.0,10.0,2015-01-14,16,8,-11.06
BAC,LONG,2016-11-09,17.66,1,10.0,10.0,2016-11-14,19.43,3,10
BAC,LONG,2016-12-13,22.8,1,10.0,10.0,2016-12-29,22.33,11,-2.06
BBY,SHORT,2007-08-07,44.16,1,10.0,10.0,2007-08-22,44.45,11,-0.66
BBY,LONG,2007-12-07,52.7,1,10.0,10.0,2007-12-24,52.49,11,-0.4
BBY,LONG,2007-12-12,52.24,1,10.0,10.0,2007-12-28,52.41,11,0.33
BBY,LONG,2009-03-26,37,1,10.0,10.0,2009-04-02,40.7,5,10
BBY,LONG,2010-04-09,44.74,1,10.0,10.0,2010-04-26,48.04,11,7.38
BBY,LONG,2010-09-24,39.19,1,10.0,10.0,2010-10-11,41.23,11,5.21
BBY,LONG,2010-10-04,40.59,1,10.0,10.0,2010-10-19,41.92,11,3.28
BBY,LONG,2013-06-04,27.22,1,10.0,10.0,2013-06-19,27.91,11,2.53
BBY,LONG,2013-08-05,31.19,1,10.0,10.0,2013-08-20,34.18,11,9.59
BBY,LONG,2014-06-11,29.4,1,10.0,10.0,2014-06-26,30.38,11,3.33
BBY,LONG,2014-06-26,30.38,1,10.0,10.0,2014-07-14,30.1,11,-0.92
BBY,LONG,2014-09-22,34.42,1,10.0,10.0,2014-10-07,32.08,11,-6.8
BBY,LONG,2014-11-11,34.88,1,10.0,10.0,2014-11-20,38.54,7,10.49
BBY,LONG,2016-07-29,33.24,1,10.0,10.0,2016-08-15,34.22,11,2.95
BCS,LONG,2007-07-19,54.99,1,10.0,10.0,2007-08-03,51.37,11,-6.57
BCS,LONG,2007-07-25,55.39,1,10.0,10.0,2007-08-09,50.23,11,-9.32
BCS,SHORT,2008-01-11,34.03,1,10.0,10.0,2008-01-29,36.18,11,-6.31
BCS,SHORT,2008-01-23,32.34,1,10.0,10.0,2008-01-24,36.29,1,-12.23
BCS,SHORT,2008-05-23,28.73,1,10.0,10.0,2008-06-03,25.86,6,10
BCS,SHORT,2008-06-13,22.73,1,10.0,10.0,2008-06-17,25.56,2,-12.45
BCS,SHORT,2008-07-09,21.9,1,10.0,10.0,2008-07-11,19.71,2,10
BCS,SHORT,2008-07-15,18.91,1,10.0,10.0,2008-07-16,20.8,1,-10
BCS,SHORT,2008-07-17,21.91,1,10.0,10.0,2008-07-21,24.26,2,-10.73
BCS,SHORT,2008-10-29,11.1,1,10.0,10.0,2008-10-30,12.43,1,-12.04
BCS,SHORT,2008-11-14,8.87,1,10.0,10.0,2008-11-18,7.77,2,12.37
BCS,LONG,2009-05-07,16.18,1,10.0,10.0,2009-05-12,14.56,3,-10
BCS,LONG,2009-05-29,17.48,1,10.0,10.0,2009-06-01,19.23,1,10
BCS,LONG,2010-04-19,20.64,1,10.0,10.0,2010-05-04,18.27,11,-11.48
BCS,LONG,2012-01-24,12.41,1,10.0,10.0,2012-02-03,13.76,8,10.84
BCS,LONG,2012-02-10,13.8,1,10.0,10.0,2012-02-28,14.06,11,1.94
BCS,LONG,2012-10-15,13.99,1,10.0,10.0,2012-11-01,13.94,11,-0.33
BCS,LONG,2015-02-18,16.03,1,10.0,10.0,2015-03-05,16.09,11,0.37
BCS,LONG,2016-11-25,10.65,1,10.0,10.0,2016-12-07,11.72,8,10
BRCD,SHORT,2007-08-13,6.98,1,10.0,10.0,2007-08-28,6.86,11,1.72
BRCD,LONG,2007-10-12,8.65,1,10.0,10.0,2007-10-29,9.12,11,5.43
BRCD,LONG,2007-10-15,9.2,1,10.0,10.0,2007-10-30,9.49,11,3.15
BRCD,SHORT,2008-10-27,3.13,1,10.0,10.0,2008-10-28,2.82,1,10
BRCD,SHORT,2009-03-02,2.62,1,10.0,10.0,2009-03-03,2.36,1,10
BRCD,LONG,2009-07-17,8.22,1,10.0,10.0,2009-08-03,7.92,11,-3.65
BRCD,LONG,2011-05-23,6.6,1,10.0,10.0,2011-06-02,7.26,7,10
BRCD,LONG,2011-12-14,5.41,1,10.0,10.0,2011-12-30,5.26,11,-2.77
BRCD,LONG,2012-01-10,5.66,1,10.0,10.0,2012-01-26,5.71,11,0.88
BRCD,LONG,2012-02-10,5.86,1,10.0,10.0,2012-02-17,5.27,5,-10
BRCD,LONG,2013-07-18,6.42,1,10.0,10.0,2013-08-02,6.77,11,5.45
BRCD,LONG,2013-07-23,6.65,1,10.0,10.0,2013-08-07,6.8,11,2.26
BRCD,LONG,2014-03-27,10.24,1,10.0,10.0,2014-04-11,9.71,11,-5.18
BRCD,LONG,2014-09-04,10.45,1,10.0,10.0,2014-09-19,10.57,11,1.15
BRCD,LONG,2014-11-21,11.7,1,10.0,10.0,2014-12-09,10.72,11,-8.38
BRCD,LONG,2015-02-23,12,1,10.0,10.0,2015-03-10,12.05,11,0.42
BRCD,LONG,2015-06-25,12.63,1,10.0,10.0,2015-07-09,11.37,9,-10
C,SHORT,2007-08-07,479.3,1,10.0,10.0,2007-08-22,485,11,-1.19
C,SHORT,2007-08-17,499,1,10.0,10.0,2007-09-04,469.6,11,5.89
C,SHORT,2007-11-27,308.1,1,10.0,10.0,2007-11-30,340.5,3,-10.52
C,SHORT,2008-01-18,245.3,1,10.0,10.0,2008-01-24,269.83,3,-10
C,SHORT,2008-01-23,239.8,1,10.0,10.0,2008-01-24,268,1,-11.76
C,SHORT,2008-03-17,182.5,1,10.0,10.0,2008-03-18,200.75,1,-10
C,SHORT,2008-07-02,172.7,1,10.0,10.0,2008-07-14,155.43,7,10
C,SHORT,2008-07-08,165.2,1,10.0,10.0,2008-07-15,148.68,5,10
C,SHORT,2008-07-15,149.9,1,10.0,10.0,2008-07-16,164.89,1,-10
C,SHORT,2008-09-19,217,1,10.0,10.0,2008-09-22,195.3,1,10
C,SHORT,2008-10-29,132.5,1,10.0,10.0,2008-11-04,145.75,4,-10
C,LONG,2009-08-17,38.7,1,10.0,10.0,2009-08-20,42.57,3,10
C,LONG,2010-03-30,41.3,1,10.0,10.0,2010-04-09,45.43,7,10
C,LONG,2012-09-12,33.01,1,10.0,10.0,2012-09-27,32.84,11,-0.51
C,LONG,2013-01-10,42.34,1,10.0,10.0,2013-01-28,42.98,11,1.51
C,LONG,2013-02-08,42.95,1,10.0,10.0,2013-02-26,41.41,11,-3.59
C,LONG,2013-05-23,49.2,1,10.0,10.0,2013-06-10,52,11,5.69
C,LONG,2014-07-18,49.49,1,10.0,10.0,2014-08-04,48.45,11,-2.1
C,LONG,2014-07-24,50.22,1,10.0,10.0,2014-08-08,48.06,11,-4.3
C,LONG,2016-08-25,46.51,1,10.0,10.0,2016-09-12,46.64,11,0.28
C,LONG,2016-10-27,50.32,1,10.0,10.0,2016-11-11,52.76,11,4.85
CSCO,LONG,2007-05-09,27.02,1,10.0,10.0,2007-05-24,26.01,11,-3.74
CSCO,LONG,2007-07-13,29.52,1,10.0,10.0,2007-07-30,29.01,11,-1.73
CSCO,LONG,2007-10-12,32.83,1,10.0,10.0,2007-10-29,32.25,11,-1.77
CSCO,SHORT,2008-01-24,24.14,1,10.0,10.0,2008-02-08,23.26,11,3.65
CSCO,LONG,2008-05-02,26.97,1,10.0,10.0,2008-05-19,26.51,11,-1.71
CSCO,SHORT,2008-11-14,16.89,1,10.0,10.0,2008-11-19,15.2,3,10
CSCO,LONG,2009-05-08,19,1,10.0,10.0,2009-05-26,17.66,11,-7.05
CSCO,LONG,2009-06-11,19.93,1,10.0,10.0,2009-06-26,18.92,11,-5.07
CSCO,LONG,2009-09-22,23.71,1,10.0,10.0,2009-10-07,23.48,11,-0.97
CSCO,LONG,2009-10-12,24.07,1,10.0,10.0,2009-10-27,23.72,11,-1.45
CSCO,LONG,2010-01-19,24.54,1,10.0,10.0,2010-02-03,23.16,11,-5.62
CSCO,LONG,2010-04-19,26.93,1,10.0,10.0,2010-05-04,27.24,11,1.15
CSCO,LONG,2011-10-27,18.04,1,10.0,10.0,2011-11-11,18.79,11,4.16
CSCO,LONG,2012-01-24,19.75,1,10.0,10.0,2012-02-08,20.22,11,2.38
CSCO,LONG,2012-02-10,19.79,1,10.0,10.0,2012-02-28,20.16,11,1.87
CSCO,LONG,2012-03-29,20.96,1,10.0,10.0,2012-04-16,19.92,11,-4.96
CSCO,LONG,2012-12-10,19.35,1,10.0,10.0,2012-12-26,19.83,11,2.48
CSCO,LONG,2014-04-02,23.11,1,10.0,10.0,2014-04-17,23.01,11,-0.43
CSCO,LONG,2014-06-11,24.85,1,10.0,10.0,2014-06-26,24.66,11,-0.76
CSCO,LONG,2014-12-04,27.92,1,10.0,10.0,2014-12-19,27.65,11,-0.97
CSCO,LONG,2015-03-03,30.1,1,10.0,10.0,2015-03-18,27.88,11,-7.38
CSCO,LONG,2016-03-11,27.82,1,10.0,10.0,2016-03-29,27.87,11,0.18
CSCO,LONG,2016-04-04,28.37,1,10.0,10.0,2016-04-19,28.33,11,-0.14
CSCO,LONG,2016-08-10,31.01,1,10.0,10.0,2016-08-25,31.06,11,0.16
DAL,LONG,2007-11-15,19.52,1,10.0,10.0,2007-11-20,17.57,3,-10
DAL,LONG,2008-10-23,9.46,1,10.0,10.0,2008-10-24,8,1,-15.43
DAL,LONG,2009-08-10,7.42,1,10.0,10.0,2009-08-17,6.68,5,-10
DAL,LONG,2009-09-15,8.63,1,10.0,10.0,2009-09-16,9.49,1,10
DAL,LONG,2010-01-21,13.5,1,10.0,10.0,2010-02-04,11.79,10,-12.67
DAL,LONG,2010-01-25,13.38,1,10.0,10.0,2010-02-04,11.79,8,-11.88
DAL,LONG,2012-01-30,10.42,1,10.0,10.0,2012-02-03,11.46,4,10
DAL,LONG,2013-01-23,14.05,1,10.0,10.0,2013-02-07,14.49,11,3.13
DAL,LONG,2013-03-12,16.2,1,10.0,10.0,2013-03-27,16.37,11,1.05
DAL,LONG,2013-05-02,16.87,1,10.0,10.0,2013-05-08,18.56,4,10
DAL,LONG,2013-05-10,17.82,1,10.0,10.0,2013-05-28,19.12,11,7.3
DAL,LONG,2013-11-04,27.13,1,10.0,10.0,2013-11-19,28.16,11,3.8
DAL,LONG,2013-11-20,27.99,1,10.0,10.0,2013-12-06,28.37,11,1.36
DAL,LONG,2016-10-27,41.62,1,10.0,10.0,2016-11-10,45.78,10,10
DAL,LONG,2016-11-07,43.4,1,10.0,10.0,2016-11-15,49.02,6,12.95
EPI,SHORT,2008-06-09,20.92,1,10.0,10.0,2008-06-24,19.15,11,8.46
EPI,SHORT,2008-06-27,18.75,1,10.0,10.0,2008-07-15,17.25,11,8
EPI,LONG,2009-04-17,12.43,1,10.0,10.0,2009-04-30,13.67,9,10
EPI,LONG,2009-05-08,13.9,1,10.0,10.0,2009-05-18,17.35,6,24.82
EPI,LONG,2009-08-06,19.25,1,10.0,10.0,2009-08-21,18.56,11,-3.58
EPI,LONG,2010-01-13,23.15,1,10.0,10.0,2010-01-27,20.83,9,-10
EPI,LONG,2010-08-06,23.55,1,10.0,10.0,2010-08-23,23.92,11,1.57
EPI,LONG,2014-03-12,17.84,1,10.0,10.0,2014-03-27,18.44,11,3.36
EPI,LONG,2014-05-16,21.49,1,10.0,10.0,2014-06-03,22.2,11,3.3
F,LONG,2007-06-25,9.24,1,10.0,10.0,2007-07-11,9.1,11,-1.52
F,SHORT,2008-01-03,6.66,1,10.0,10.0,2008-01-09,5.99,4,10
F,SHORT,2008-01-23,5.83,1,10.0,10.0,2008-01-25,6.41,2,-10
F,SHORT,2008-07-01,4.71,1,10.0,10.0,2008-07-16,5.18,10,-10
F,SHORT,2008-10-09,2.88,1,10.0,10.0,2008-10-10,2.07,1,28.13
F,SHORT,2008-11-21,1.47,1,10.0,10.0,2008-11-24,1.78,1,-21.09
F,LONG,2009-05-04,5.9,1,10.0,10.0,2009-05-07,6.51,3,10.34
F,LONG,2009-05-08,6.19,1,10.0,10.0,2009-05-12,5.57,2,-10
F,LONG,2010-08-04,13,1,10.0,10.0,2010-08-19,12.13,11,-6.69
F,LONG,2010-10-18,13.75,1,10.0,10.0,2010-11-02,14.32,11,4.15
F,LONG,2010-10-27,14.34,1,10.0,10.0,2010-11-04,15.77,6,10
F,LONG,2010-11-17,16.76,1,10.0,10.0,2010-12-03,16.63,11,-0.78
F,LONG,2011-01-05,17.31,1,10.0,10.0,2011-01-21,17.99,11,3.93
F,LONG,2012-01-25,12.8,1,10.0,10.0,2012-02-09,12.89,11,0.7
F,LONG,2012-12-24,11.67,1,10.0,10.0,2012-12-28,12.84,3,10
F,LONG,2013-05-02,13.54,1,10.0,10.0,2013-05-17,14.79,11,9.23
F,LONG,2013-06-04,15.98,1,10.0,10.0,2013-06-19,15.6,11,-2.38
F,LONG,2014-07-25,17.9,1,10.0,10.0,2014-08-11,17.17,11,-4.08
GLW,LONG,2009-03-18,12.3,1,10.0,10.0,2009-03-25,13.53,5,10
GLW,LONG,2009-07-27,16.4,1,10.0,10.0,2009-08-11,16.08,11,-1.95
GLW,LONG,2010-04-23,20.74,1,10.0,10.0,2010-05-05,18.67,8,-10
GLW,LONG,2010-04-28,20.56,1,10.0,10.0,2010-05-05,18.5,5,-10
GLW,LONG,2013-05-17,15.42,1,10.0,10.0,2013-06-04,15.66,11,1.56
GLW,LONG,2014-04-07,21.27,1,10.0,10.0,2014-04-23,21.19,11,-0.38
GLW,LONG,2014-12-10,21.44,1,10.0,10.0,2014-12-26,23.24,11,8.4
GLW,LONG,2015-01-14,22.91,1,10.0,10.0,2015-01-30,23.65,11,3.23
GLW,LONG,2015-01-27,23.71,1,10.0,10.0,2015-02-11,24.84,11,4.77
GLW,LONG,2016-03-08,19.5,1,10.0,10.0,2016-03-23,20.26,11,3.9
GLW,LONG,2016-03-30,20.75,1,10.0,10.0,2016-04-14,21,11,1.2
GLW,LONG,2016-10-03,23.59,1,10.0,10.0,2016-10-18,23.65,11,0.25
GLW,LONG,2016-12-01,24.03,1,10.0,10.0,2016-12-16,24.27,11,1
INTC,SHORT,2007-03-30,19.08,1,10.0,10.0,2007-04-17,20.67,11,-8.33
INTC,LONG,2007-05-24,22.72,1,10.0,10.0,2007-06-11,21.75,11,-4.27
INTC,LONG,2007-07-11,24.82,1,10.0,10.0,2007-07-26,24.34,11,-1.93
INTC,LONG,2007-11-08,26.89,1,10.0,10.0,2007-11-26,25.04,11,-6.88
INTC,SHORT,2008-09-19,20.16,1,10.0,10.0,2008-09-29,18.14,6,10
INTC,SHORT,2008-11-14,14.07,1,10.0,10.0,2008-11-18,12.66,2,10
INTC,SHORT,2008-11-24,13.33,1,10.0,10.0,2008-12-09,14.66,10,-10
INTC,LONG,2011-05-04,23.05,1,10.0,10.0,2011-05-19,23.32,11,1.17
INTC,LONG,2011-05-17,23.37,1,10.0,10.0,2011-06-02,22.01,11,-5.82
INTC,LONG,2013-06-03,24.88,1,10.0,10.0,2013-06-18,25.07,11,0.76
INTC,LONG,2014-06-24,30.16,1,10.0,10.0,2014-07-10,30.6,11,1.46
INTC,LONG,2014-11-21,35.98,1,10.0,10.0,2014-12-09,36.67,11,1.92
INTC,LONG,2015-10-15,32.84,1,10.0,10.0,2015-10-30,34.1,11,3.84
LVLT,SHORT,2007-09-18,67.65,1,10.0,10.0,2007-10-03,71.25,11,-5.32
LVLT,SHORT,2007-11-09,43.2,1,10.0,10.0,2007-11-16,47.52,5,-10
LVLT,SHORT,2008-10-24,11.1,1,10.0,10.0,2008-10-27,12.21,1,-10
LVLT,SHORT,2008-12-26,10.05,1,10.0,10.0,2009-01-05,11.06,5,-10
LVLT,LONG,2009-06-11,19.8,1,10.0,10.0,2009-06-12,24.3,1,22.73
LVLT,LONG,2009-12-11,21,1,10.0,10.0,2009-12-23,23.1,8,10
LVLT,LONG,2012-03-19,26.51,1,10.0,10.0,2012-04-03,25.93,11,-2.19
LVLT,LONG,2013-08-14,23.3,1,10.0,10.0,2013-08-29,22.19,11,-4.76
LVLT,LONG,2014-01-10,33.75,1,10.0,10.0,2014-01-28,32.26,11,-4.41
LVLT,LONG,2014-02-25,38.76,1,10.0,10.0,2014-03-12,37.98,11,-2.01
LVLT,LONG,2014-03-27,37.81,1,10.0,10.0,2014-04-11,37.59,11,-0.58
LVLT,LONG,2015-02-05,52.89,1,10.0,10.0,2015-02-23,54.17,11,2.42
LVLT,LONG,2016-04-29,53.61,1,10.0,10.0,2016-05-16,51.77,11,-3.43
MSFT,SHORT,2008-09-22,26.22,1,10.0,10.0,2008-10-07,24.98,11,4.73
MSFT,SHORT,2008-11-14,20.56,1,10.0,10.0,2008-11-19,18.5,3,10
MSFT,LONG,2009-11-13,29.47,1,10.0,10.0,2009-12-01,29.52,11,0.17
MSFT,LONG,2010-04-23,31.12,1,10.0,10.0,2010-05-06,28.01,9,-10
MSFT,LONG,2010-04-26,31,1,10.0,10.0,2010-05-07,27.9,9,-10
MSFT,LONG,2011-01-28,28.9,1,10.0,10.0,2011-02-14,27.21,11,-5.85
MSFT,LONG,2011-07-15,26.47,1,10.0,10.0,2011-08-01,27.51,11,3.93
MSFT,LONG,2012-09-21,31.43,1,10.0,10.0,2012-10-08,29.64,11,-5.7
MSFT,LONG,2013-06-05,34.6,1,10.0,10.0,2013-06-20,34.26,11,-0.98
MSFT,LONG,2014-06-18,41.61,1,10.0,10.0,2014-07-03,41.91,11,0.72
MSFT,LONG,2014-06-26,41.93,1,10.0,10.0,2014-07-14,42.22,11,0.69
MSFT,LONG,2015-10-23,52.3,1,10.0,10.0,2015-11-09,54.55,11,4.3
MSFT,LONG,2016-08-29,58.18,1,10.0,10.0,2016-09-14,56.39,11,-3.08
NOK,LONG,2007-04-10,23.62,1,10.0,10.0,2007-04-25,25.25,11,6.9
NOK,LONG,2007-06-21,27.75,1,10.0,10.0,2007-07-09,28.86,11,4
NOK,LONG,2007-10-02,37.2,1,10.0,10.0,2007-10-17,35.89,11,-3.52
NOK,SHORT,2008-10-17,16.25,1,10.0,10.0,2008-10-20,17.92,1,-10.28
NOK,SHORT,2008-11-14,12.43,1,10.0,10.0,2008-11-19,13.7,3,-10.22
NOK,LONG,2010-02-01,13.98,1,10.0,10.0,2010-02-17,13.47,11,-3.65
