Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AKS,LONG,2007-04-13,24.94,1,10.0,10.0,2007-04-17,27.43,2,10
AKS,LONG,2007-07-02,38.7,1,10.0,10.0,2007-08-06,34.83,24,-10
AKS,LONG,2007-09-19,42.87,1,10.0,10.0,2007-10-08,47.16,13,10
AKS,LONG,2007-10-08,45.27,1,10.0,10.0,2007-10-11,49.9,3,10.23
AKS,LONG,2010-01-08,25.4,1,10.0,10.0,2010-01-19,22.86,6,-10
AKS,LONG,2011-02-17,17.48,1,10.0,10.0,2011-02-23,15.73,3,-10
AKS,LONG,2014-08-26,10.96,1,10.0,10.0,2014-09-08,9.86,8,-10
AKS,LONG,2013-11-04,5.17,1,10.0,10.0,2013-11-29,5.69,18,10
AKS,LONG,2013-12-19,6.73,1,10.0,10.0,2013-12-19,7.4,1,10
AKS,LONG,2014-07-02,8.52,1,10.0,10.0,2014-07-29,9.37,18,10
AKS,LONG,2014-08-18,10.14,1,10.0,10.0,2014-08-26,11.15,6,10
AKS,LONG,2016-07-27,6.49,1,10.0,10.0,2016-08-09,5.84,10,-10
AKS,LONG,2016-07-27,6.49,1,10.0,10.0,2016-08-09,5.84,10,-10
AKS,LONG,2016-07-27,6.85,1,10.0,10.0,2016-08-02,6.16,4,-10
AKS,LONG,2016-07-27,6.5,1,10.0,10.0,2016-08-03,5.85,5,-10
AAPL,LONG,2007-10-23,26.94,1,10.0,10.0,2007-11-08,24.24,13,-10
AAPL,LONG,2009-10-20,28.66,1,10.0,10.0,2010-03-09,31.52,96,10
AAPL,LONG,2009-04-23,18.09,1,10.0,10.0,2009-06-01,19.9,27,10
AAPL,LONG,2010-03-05,30.82,1,10.0,10.0,2010-03-30,33.9,17,10
AAPL,LONG,2010-04-14,35.1,1,10.0,10.0,2010-04-23,38.61,7,10
AAPL,LONG,2010-09-21,40.86,1,10.0,10.0,2010-10-15,44.94,18,10
AAPL,LONG,2011-07-18,52.43,1,10.0,10.0,2011-07-26,57.67,6,10
AAPL,LONG,2013-10-29,76.61,1,10.0,10.0,2014-04-28,84.27,124,10
AAPL,LONG,2013-11-29,78.5,1,10.0,10.0,2014-01-31,70.65,43,-10
AAPL,LONG,2014-07-23,97.8,1,10.0,10.0,2014-10-31,108.01,71,10.44
AAPL,LONG,2014-11-24,118.28,1,10.0,10.0,2014-12-15,106.45,14,-10
BAC,LONG,2009-08-05,16.07,1,10.0,10.0,2009-08-24,17.81,13,10.83
