Symbol, Direction, Entry Date, Entry Price, Number of Shares, Stop Loss, Target, Exit Date, Exit Price, Holding Period, percentPL
AKS,LONG,2010-01-08,25.4,1,5.0,4.0,2010-01-11,26.49,1,4.29
BBY,LONG,2009-09-08,40.87,1,5.0,4.0,2009-09-15,40.35,5,-1.27
BBY,SHORT,2012-11-20,12.52,1,5.0,4.0,2012-11-21,11.83,1,5.51
BBY,LONG,2013-03-08,20.5,1,5.0,4.0,2013-03-14,21.32,4,4
GLW,SHORT,2008-10-08,11.33,1,5.0,4.0,2008-10-09,11.97,1,-5.65
LVLT,LONG,2011-05-24,31.6,1,5.0,4.0,2011-05-25,32.86,1,4
LVLT,LONG,2012-02-27,24.73,1,5.0,4.0,2012-03-05,24.35,5,-1.54
MSFT,LONG,2015-04-28,49.14,1,5.0,4.0,2015-05-05,47.82,5,-2.69
SPY,LONG,2009-05-06,91.94,1,5.0,4.0,2009-05-13,89.74,5,-2.39
EWC,SHORT,2008-10-08,19.67,1,5.0,4.0,2008-10-08,20.65,1,-5
IWM,LONG,2015-03-20,126.12,1,5.0,4.0,2015-03-27,122.38,5,-2.97
VXX,SHORT,2009-12-18,36054.04,1,5.0,4.0,2009-12-22,34611.88,2,4
VXX,SHORT,2010-01-21,28363.8,1,5.0,4.0,2010-01-22,30464,1,-7.4
VXX,SHORT,2010-09-17,17612.8,1,5.0,4.0,2010-09-21,16908.29,3,4
VXX,LONG,2013-06-24,1474.92,1,5.0,4.0,2013-06-26,1384.32,2,-6.14
VXX,SHORT,2014-01-15,643.32,1,5.0,4.0,2014-01-24,675.52,6,-5.01
AXP,SHORT,2008-07-15,36.34,1,5.0,4.0,2008-07-16,38.16,1,-5
AXP,LONG,2009-05-06,28.39,1,5.0,4.0,2009-05-07,26.97,1,-5
BA,SHORT,2008-10-06,51.77,1,5.0,4.0,2008-10-06,49.7,1,4
BA,LONG,2013-03-11,82.95,1,5.0,4.0,2013-03-15,86.27,4,4
BA,LONG,2013-05-17,98.47,1,5.0,4.0,2013-05-24,99.75,5,1.3
BA,LONG,2013-10-25,130.99,1,5.0,4.0,2013-11-01,130.9,5,-0.07
CVX,LONG,2016-03-11,95.64,1,5.0,4.0,2016-03-18,97.85,5,2.31
GS,LONG,2015-05-27,209.26,1,5.0,4.0,2015-06-03,207.52,5,-0.83
GS,LONG,2016-08-30,169.07,1,5.0,4.0,2016-09-07,168.7,5,-0.22
GS,LONG,2016-12-05,228.16,1,5.0,4.0,2016-12-08,237.29,3,4
JNJ,LONG,2014-03-25,96.93,1,5.0,4.0,2014-04-01,98.31,5,1.42
TRV,LONG,2008-09-19,56.54,1,5.0,4.0,2008-09-19,53.71,1,-5
UNH,LONG,2015-03-18,119.69,1,5.0,4.0,2015-03-25,118.85,5,-0.7
AAL,LONG,2016-12-09,49.94,1,5.0,4.0,2016-12-12,47.44,1,-5
ADI,SHORT,2008-10-10,20.91,1,5.0,4.0,2008-10-13,21.96,1,-5.02
ADSK,SHORT,2008-02-29,31.36,1,5.0,4.0,2008-03-04,30.11,2,4
ALXN,LONG,2008-07-29,21.5,1,5.0,4.0,2008-07-30,22.36,1,4
AVGO,LONG,2010-12-02,28.25,1,5.0,4.0,2010-12-03,26.84,1,-5
BIIB,LONG,2011-03-03,71.73,1,5.0,4.0,2011-03-10,71.05,5,-0.95
BIIB,LONG,2013-03-05,172.11,1,5.0,4.0,2013-03-12,174.44,5,1.35
BIIB,LONG,2013-05-22,235.46,1,5.0,4.0,2013-05-30,235.82,5,0.15
BIIB,LONG,2013-10-24,252.96,1,5.0,4.0,2013-10-31,249.23,5,-1.47
CELG,LONG,2013-07-30,73.07,1,5.0,4.0,2013-08-06,73.07,5,-0.01
CHKP,LONG,2014-01-30,68.25,1,5.0,4.0,2014-02-03,64.72,2,-5.17
CTXS,LONG,2009-05-26,25.12,1,5.0,4.0,2009-06-02,25.13,5,0.05
DISH,LONG,2013-07-17,45.96,1,5.0,4.0,2013-07-24,45.14,5,-1.78
DISH,LONG,2013-11-26,53.78,1,5.0,4.0,2013-12-04,53.33,5,-0.84
EXPE,LONG,2007-06-19,59.28,1,5.0,4.0,2007-06-25,58.16,5,-1.89
EXPE,LONG,2016-10-24,129.03,1,5.0,4.0,2016-10-31,131.57,5,1.97
FB,LONG,2014-02-24,71.11,1,5.0,4.0,2014-02-28,67.55,4,-5
FOX,LONG,2014-05-12,34.77,1,5.0,4.0,2014-05-15,33.03,3,-5
GOOGL,LONG,2007-07-09,273.47,1,5.0,4.0,2007-07-16,275.43,5,0.71
GOOGL,LONG,2014-07-22,607.7,1,5.0,4.0,2014-07-29,597.7,5,-1.65
GOOGL,LONG,2015-07-16,590.71,1,5.0,4.0,2015-07-17,680,1,15.12
GOOGL,LONG,2015-07-21,704,1,5.0,4.0,2015-07-24,668.8,3,-5
HAS,LONG,2015-04-20,70,1,5.0,4.0,2015-04-20,72.8,1,4
ILMN,LONG,2011-01-18,70.77,1,5.0,4.0,2011-01-25,69.47,5,-1.84
ISRG,LONG,2012-03-26,180.34,1,5.0,4.0,2012-04-02,178.94,5,-0.78
ISRG,LONG,2014-01-14,146.84,1,5.0,4.0,2014-01-14,139.5,1,-5
ISRG,LONG,2015-12-14,177.63,1,5.0,4.0,2015-12-21,178.8,5,0.66
MELI,LONG,2007-12-12,51.49,1,5.0,4.0,2007-12-13,53.55,1,4
NTES,LONG,2011-02-14,46.72,1,5.0,4.0,2011-02-15,44.38,1,-5
NTES,LONG,2013-12-27,78.1,1,5.0,4.0,2014-01-06,78.08,5,-0.03
NTES,LONG,2015-04-10,122,1,5.0,4.0,2015-04-14,115.9,2,-5
NTES,LONG,2015-11-09,149.99,1,5.0,4.0,2015-11-12,158,3,5.34
NTES,LONG,2015-12-08,180.91,1,5.0,4.0,2015-12-11,171.86,3,-5
NVDA,LONG,2016-05-18,43.8,1,5.0,4.0,2016-05-25,45.5,5,3.88
PCLN,LONG,2007-10-05,93.25,1,5.0,4.0,2007-10-12,91.3,5,-2.09
PCLN,LONG,2009-08-10,142.9,1,5.0,4.0,2009-08-10,148.62,1,4
PCLN,LONG,2012-03-21,700.89,1,5.0,4.0,2012-03-26,728.93,3,4
PCLN,LONG,2013-07-11,901.4,1,5.0,4.0,2013-07-18,903.4,5,0.22
PCLN,LONG,2013-11-13,1110.5,1,5.0,4.0,2013-11-20,1148.3,5,3.4
PCLN,LONG,2014-02-25,1334.12,1,5.0,4.0,2014-03-04,1349.21,5,1.13
PCLN,LONG,2016-03-18,1358.9,1,5.0,4.0,2016-03-28,1301.35,5,-4.24
REGN,LONG,2013-05-03,258.95,1,5.0,4.0,2013-05-03,269.31,1,4
REGN,LONG,2016-07-29,417,1,5.0,4.0,2016-08-01,433.68,1,4
SHPG,LONG,2007-08-08,78.79,1,5.0,4.0,2007-08-09,74.85,1,-5
SHPG,LONG,2014-06-18,192.91,1,5.0,4.0,2014-06-20,223.23,2,15.72
SHPG,LONG,2015-03-20,253.12,1,5.0,4.0,2015-03-25,240.46,4,-5
SWKS,LONG,2010-11-24,25.88,1,5.0,4.0,2010-12-02,26.5,5,2.4
TMUS,LONG,2015-05-26,37.82,1,5.0,4.0,2015-06-02,38.81,5,2.62
ULTA,LONG,2012-03-05,86.91,1,5.0,4.0,2012-03-09,90.44,4,4.06
VRTX,SHORT,2008-02-12,16.38,1,5.0,4.0,2008-02-12,17.2,1,-5
WDC,LONG,2013-05-28,63.62,1,5.0,4.0,2013-06-04,63.95,5,0.52
IDXX,LONG,2014-10-28,71.21,1,5.0,4.0,2014-11-04,71.42,5,0.29
IDXX,LONG,2015-01-16,82.23,1,5.0,4.0,2015-01-26,83.82,5,1.93
LRCX,SHORT,2008-01-08,38.47,1,5.0,4.0,2008-01-16,38.12,6,0.91
LRCX,LONG,2009-04-14,26.96,1,5.0,4.0,2009-04-15,25.58,1,-5.12
ORLY,LONG,2012-04-26,100.99,1,5.0,4.0,2012-04-27,105.03,2,4
STX,LONG,2016-09-09,37.65,1,5.0,4.0,2016-09-12,35.77,1,-5
TSLA,LONG,2013-05-09,70.12,1,5.0,4.0,2013-05-09,66.61,1,-5
