numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
1046,914,132,540,506,476,438,64,68,26,1,5.46,0.05,0.07,-0.07,2,-2,2,2,
1043,911,132,442,601,384,527,58,74,26,1,8.45,0.29,0.24,0.61,4,-2,2,4,
1043,911,132,418,625,363,548,55,77,26,1,9.21,0.36,0.29,0.87,5,-2,2,5,
1043,911,132,369,674,325,586,44,88,26,1,10.97,0.51,0.32,1.79,11.49,-2,2,10,
1046,914,132,662,384,587,327,75,57,26,1,7.76,-0.14,-0.08,-0.6,2,-4,4,2,
1042,910,132,567,475,497,413,70,62,27,1,11.59,0.07,0.06,0.16,4,-4,4,4,
1042,910,132,547,495,480,430,67,65,27,1,12.53,0.17,0.13,0.45,5,-4,4,5,
1042,910,132,502,540,446,464,56,76,27,1,14.69,0.37,0.22,1.39,11.49,-6.4,4,10,
1044,913,131,703,341,620,293,83,48,26,1,8.6,-0.14,-0.08,-0.58,2,-5,5,2,
1039,908,131,603,436,527,381,76,55,27,1,12.63,0.06,0.05,0.14,4,-5,5,4,
1039,908,131,585,454,512,396,73,58,28,1,13.64,0.16,0.12,0.45,5,-5,5,5,
1038,907,131,541,497,479,428,62,69,28,1,15.97,0.39,0.24,1.44,11.49,-6.4,5,10,
1044,913,131,768,276,678,235,90,41,28,1,10.83,-0.17,0.06,-1.77,2,-10,10,2,
1039,908,131,675,364,590,318,85,46,28,1,15.43,0.07,0.22,-1,4,-10,10,4,
1039,908,131,655,384,574,334,81,50,28,1,16.58,0.16,0.31,-0.85,5,-10,10,5,
1038,907,131,615,423,542,365,73,58,28,1,19.22,0.49,0.52,0.32,11.49,-10,10,10,
