numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
3920,2627,1293,1885,2035,1294,1333,591,702,6,1,2.05,-0,0.1,-0.22,50,-28.16,2,2,
3917,2625,1292,1690,2227,1162,1463,528,764,6,1,2.58,0.01,0.09,-0.16,50,-28.16,2,4,
3916,2624,1292,1669,2247,1153,1471,516,776,6,1,2.71,-0,0.09,-0.18,50,-28.16,2,5,
3916,2624,1292,1657,2259,1148,1476,509,783,6,1,2.89,0.01,0.06,-0.12,50,-28.16,2,10,
3916,2621,1295,2281,1635,1542,1079,739,556,6,1,2.75,0.03,0.13,-0.18,50,-28.16,4,2,
3913,2620,1293,1979,1934,1368,1252,611,682,6,1,3.49,0.05,0.13,-0.12,50,-28.16,4,4,
3912,2620,1292,1909,2003,1339,1281,570,722,6,1,3.7,0.02,0.11,-0.17,50,-28.16,4,5,
3911,2620,1291,1851,2060,1316,1304,535,756,6,1,4.03,0.01,0.08,-0.13,50,-28.16,4,10,
3914,2620,1294,2357,1557,1577,1043,780,514,6,1,2.95,0.06,0.15,-0.14,50,-28.16,5,2,
3910,2619,1291,2078,1832,1412,1207,666,625,6,1,3.74,0.1,0.17,-0.03,50,-28.16,5,4,
3910,2619,1291,1996,1914,1383,1236,613,678,6,1,3.98,0.07,0.15,-0.09,50,-28.16,5,5,
3908,2618,1290,1918,1990,1354,1264,564,726,6,1,4.35,0.04,0.11,-0.1,50,-28.16,5,10,
3914,2620,1294,2456,1458,1602,1018,854,440,6,1,3.31,0.09,0.17,-0.07,50,-28.16,10,2,
3909,2619,1290,2187,1722,1444,1175,743,547,6,1,4.19,0.14,0.19,0.05,50,-28.16,10,4,
3908,2618,1290,2113,1795,1419,1199,694,596,6,1,4.45,0.11,0.17,-0.01,50,-28.16,10,5,
3907,2617,1290,2031,1876,1394,1223,637,653,6,1,4.9,0.13,0.14,0.11,50,-28.16,10,10,
