numTrades,numLongTrades,numShortTrades,numWinners,numLosers,numLongWinners,numLongLosers,numShortWinners,numShortLosers,maxHoldingPeriod,minHoldingPeriod,avgHoldingPeriod,averagePL,averageLongPL,averageShortPL,maxPL,minPL,stopLoss,target,
2861,2525,336,1417,1444,1270,1255,147,189,4,1,1.79,0.02,0.12,-0.8,30.48,-28.16,2,2,
2858,2523,335,1340,1518,1202,1321,138,197,4,1,2.07,-0.01,0.09,-0.74,30.48,-28.16,2,4,
2857,2522,335,1334,1523,1198,1324,136,199,4,1,2.13,-0.02,0.08,-0.77,30.48,-28.16,2,5,
2857,2522,335,1329,1528,1194,1328,135,200,4,1,2.2,-0.03,0.06,-0.7,30.48,-28.16,2,10,
2858,2521,337,1595,1263,1414,1107,181,156,4,1,2.14,0.04,0.14,-0.77,30.48,-28.16,4,2,
2855,2519,336,1464,1391,1315,1204,149,187,4,1,2.49,0.02,0.11,-0.69,30.48,-28.16,4,4,
2854,2518,336,1442,1412,1300,1218,142,194,4,1,2.57,-0.01,0.09,-0.7,30.48,-28.16,4,5,
2854,2518,336,1427,1427,1291,1227,136,200,4,1,2.69,0.01,0.06,-0.4,30.48,-28.16,4,10,
2857,2521,336,1632,1225,1433,1088,199,137,4,1,2.21,0.07,0.16,-0.63,30.48,-28.16,5,2,
2853,2518,335,1509,1344,1340,1178,169,166,4,1,2.58,0.06,0.14,-0.51,30.48,-28.16,5,4,
2852,2517,335,1481,1371,1322,1195,159,176,4,1,2.67,0.04,0.11,-0.51,30.48,-28.16,5,5,
2851,2516,335,1460,1391,1310,1206,150,185,4,1,2.8,0.04,0.08,-0.24,30.48,-28.16,5,10,
2856,2521,335,1667,1189,1443,1078,224,111,4,1,2.33,0.09,0.17,-0.51,30.48,-28.16,10,2,
2851,2518,333,1544,1307,1351,1167,193,140,4,1,2.73,0.07,0.14,-0.41,30.48,-28.16,10,4,
2850,2517,333,1521,1329,1337,1180,184,149,4,1,2.82,0.06,0.12,-0.36,30.48,-28.16,10,5,
2849,2516,333,1493,1356,1323,1193,170,163,4,1,2.97,0.07,0.09,-0.03,30.48,-28.16,10,10,
